Time (s),Current (nA)
15:50:29.142,0.038
15:50:29.143,-0.004
15:50:29.143,-0.004
15:50:29.148,-0.007
15:50:29.158,-0.007
15:50:29.160,-0.007
15:50:29.174,-0.007
15:50:29.174,0.0
15:50:29.190,0.0
15:50:29.190,0.007
15:50:29.331,0.013
15:50:29.331,0.015
15:50:29.331,0.02
15:50:29.331,0.027
15:50:29.331,0.036
15:50:29.331,0.041
15:50:29.331,0.042
15:50:29.331,0.044
15:50:29.347,0.044
15:50:29.348,0.045
15:50:29.379,0.048
15:50:29.387,0.047
15:50:29.395,0.049
15:50:29.411,0.049
15:50:29.411,0.047
15:50:29.427,0.047
15:50:29.427,0.046
15:50:29.443,0.046
15:50:29.444,0.048
15:50:29.458,0.048
15:50:29.505,0.049
15:50:29.513,0.051
15:50:29.513,0.055
15:50:29.515,0.061
15:50:29.521,0.064
15:50:29.537,0.064
15:50:29.538,0.07
15:50:29.553,0.07
15:50:29.555,0.083
15:50:29.569,0.083
15:50:29.601,0.097
15:50:29.601,0.095
15:50:29.616,0.095
15:50:29.618,0.087
15:50:29.632,0.087
15:50:29.633,0.091
15:50:29.648,0.091
15:50:29.648,0.105
15:50:29.664,0.105
15:50:29.664,0.119
15:50:29.727,0.125
15:50:29.727,0.126
15:50:29.727,0.119
15:50:29.727,0.12
15:50:29.743,0.12
15:50:29.743,0.122
15:50:29.758,0.122
15:50:29.758,0.125
15:50:29.774,0.125
15:50:29.776,0.126
15:50:29.822,0.122
15:50:29.822,0.118
15:50:29.822,0.113
15:50:29.837,0.113
15:50:29.837,0.111
15:50:29.869,0.111
15:50:29.869,0.111
15:50:29.886,0.111
15:50:29.886,0.111
15:50:29.901,0.111
15:50:29.932,0.114
15:50:29.948,0.114
15:50:29.949,0.117
15:50:29.950,0.123
15:50:29.963,0.123
15:50:29.963,0.133
15:50:29.979,0.133
15:50:29.980,0.137
15:50:29.995,0.137
15:50:29.995,0.126
15:50:30.059,0.119
15:50:30.059,0.129
15:50:30.059,0.139
15:50:30.059,0.142
15:50:30.075,0.142
15:50:30.077,0.139
15:50:30.090,0.139
15:50:30.090,0.138
15:50:30.106,0.138
15:50:30.107,0.133
15:50:30.185,0.13
15:50:30.200,0.13
15:50:30.203,0.126
15:50:30.204,0.12
15:50:30.204,0.115
15:50:30.216,0.115
15:50:30.216,0.115
15:50:30.232,0.115
15:50:30.232,0.111
15:50:30.248,0.111
15:50:30.295,0.108
15:50:30.295,0.106
15:50:30.295,0.106
15:50:30.295,0.102
15:50:30.311,0.102
15:50:30.311,0.102
15:50:30.326,0.102
15:50:30.326,0.103
15:50:30.342,0.103
15:50:30.343,0.103
15:50:30.389,0.096
15:50:30.389,0.09
15:50:30.405,0.09
15:50:30.405,0.086
15:50:30.421,0.086
15:50:30.421,0.082
15:50:30.436,0.082
15:50:30.436,0.075
15:50:30.452,0.075
15:50:30.453,0.069
15:50:30.500,0.061
15:50:30.500,0.059
15:50:30.500,0.055
15:50:30.515,0.055
15:50:30.517,0.056
15:50:30.531,0.056
15:50:30.531,0.061
15:50:30.547,0.061
15:50:30.547,0.048
15:50:30.563,0.048
15:50:30.594,0.048
15:50:30.594,0.049
15:50:30.594,0.05
15:50:30.610,0.05
15:50:30.610,0.05
15:50:30.641,0.05
15:50:30.641,0.05
15:50:30.657,0.05
15:50:30.658,0.046
15:50:30.673,0.046
15:50:30.737,0.043
15:50:30.737,0.041
15:50:30.737,0.037
15:50:30.750,0.03
15:50:30.752,0.024
15:50:30.752,0.009
15:50:30.767,0.009
15:50:30.767,0.0
15:50:30.783,0.0
15:50:30.783,0.007
15:50:30.830,0.01
15:50:30.830,-0.001
15:50:30.830,-0.014
15:50:30.846,-0.014
15:50:30.846,-0.024
15:50:30.861,-0.024
15:50:30.861,-0.028
15:50:30.893,-0.028
15:50:30.893,-0.023
15:50:30.908,-0.023
15:50:30.972,-0.023
15:50:30.972,-0.022
15:50:30.972,-0.025
15:50:30.972,-0.027
15:50:30.972,-0.028
15:50:30.987,-0.028
15:50:30.987,-0.025
15:50:31.003,-0.025
15:50:31.003,-0.018
15:50:31.018,-0.018
15:50:31.066,-0.015
15:50:31.066,-0.013
15:50:31.082,-0.015
15:50:31.082,-0.014
15:50:31.082,-0.018
15:50:31.097,-0.018
15:50:31.099,-0.019
15:50:31.114,-0.019
15:50:31.122,-0.022
15:50:31.145,-0.022
15:50:31.208,-0.029
15:50:31.215,-0.037
15:50:31.215,-0.035
15:50:31.215,-0.024
15:50:31.215,-0.025
15:50:31.224,-0.036
15:50:31.240,-0.036
15:50:31.240,-0.045
15:50:31.255,-0.045
15:50:31.255,-0.045
15:50:31.319,-0.044
15:50:31.319,-0.039
15:50:31.319,-0.034
15:50:31.323,-0.033
15:50:31.334,-0.033
15:50:31.335,-0.03
15:50:31.350,-0.03
15:50:31.350,-0.028
15:50:31.366,-0.028
15:50:31.366,-0.024
15:50:31.444,-0.017
15:50:31.444,-0.016
15:50:31.444,-0.013
15:50:31.444,-0.01
15:50:31.460,-0.01
15:50:31.460,-0.008
15:50:31.475,-0.008
15:50:31.478,-0.007
15:50:31.492,-0.007
15:50:31.495,-0.004
15:50:31.539,-0.005
15:50:31.550,-0.007
15:50:31.550,-0.002
15:50:31.555,0.006
15:50:31.571,0.011
15:50:31.588,0.011
15:50:31.588,0.014
15:50:31.603,0.014
15:50:31.603,0.02
15:50:31.618,0.029
15:50:31.696,0.037
15:50:31.696,0.041
15:50:31.696,0.042
15:50:31.696,0.045
15:50:31.712,0.046
15:50:31.728,0.046
15:50:31.728,0.047
15:50:31.744,0.047
15:50:31.744,0.047
15:50:31.759,0.047
15:50:31.806,0.049
15:50:31.817,0.047
15:50:31.817,0.048
15:50:31.817,0.047
15:50:31.822,0.048
15:50:31.838,0.048
15:50:31.838,0.051
15:50:31.853,0.051
15:50:31.853,0.053
15:50:31.869,0.053
15:50:31.917,0.06
15:50:31.917,0.061
15:50:31.917,0.07
15:50:31.933,0.07
15:50:31.933,0.084
15:50:31.949,0.084
15:50:31.949,0.097
15:50:31.965,0.097
15:50:31.965,0.096
15:50:31.980,0.096
15:50:32.028,0.089
15:50:32.043,0.092
15:50:32.043,0.108
15:50:32.043,0.116
15:50:32.047,0.125
15:50:32.059,0.125
15:50:32.075,0.125
15:50:32.077,0.119
15:50:32.091,0.119
15:50:32.091,0.119
15:50:32.176,0.121
15:50:32.176,0.124
15:50:32.176,0.126
15:50:32.176,0.122
15:50:32.186,0.118
15:50:32.201,0.118
15:50:32.203,0.113
15:50:32.217,0.113
15:50:32.217,0.111
15:50:32.233,0.111
15:50:32.280,0.112
15:50:32.280,0.112
15:50:32.280,0.113
15:50:32.280,0.115
15:50:32.296,0.115
15:50:32.296,0.119
15:50:32.311,0.119
15:50:32.311,0.121
15:50:32.327,0.121
15:50:32.330,0.131
15:50:32.374,0.136
15:50:32.374,0.127
15:50:32.374,0.119
15:50:32.390,0.122
15:50:32.406,0.122
15:50:32.406,0.135
15:50:32.438,0.143
15:50:32.454,0.143
15:50:32.454,0.142
15:50:32.470,0.142
15:50:32.517,0.141
15:50:32.517,0.137
15:50:32.517,0.133
15:50:32.517,0.131
15:50:32.532,0.131
15:50:32.532,0.128
15:50:32.548,0.128
15:50:32.548,0.125
15:50:32.563,0.125
15:50:32.563,0.122
15:50:32.611,0.117
15:50:32.611,0.115
15:50:32.626,0.112
15:50:32.626,0.11
15:50:32.642,0.11
15:50:32.642,0.107
15:50:32.658,0.107
15:50:32.658,0.106
15:50:32.689,0.106
15:50:32.689,0.103
15:50:32.753,0.102
15:50:32.753,0.101
15:50:32.753,0.103
15:50:32.753,0.1
15:50:32.768,0.092
15:50:32.784,0.092
15:50:32.784,0.09
15:50:32.800,0.09
15:50:32.800,0.087
15:50:32.816,0.087
15:50:32.863,0.08
15:50:32.863,0.073
15:50:32.863,0.065
15:50:32.863,0.058
15:50:32.879,0.058
15:50:32.879,0.056
15:50:32.894,0.056
15:50:32.900,0.054
15:50:32.925,0.052
15:50:32.942,0.052
15:50:32.990,0.051
15:50:32.990,0.049
15:50:33.003,0.049
15:50:33.003,0.049
15:50:33.005,0.051
15:50:33.020,0.051
15:50:33.022,0.052
15:50:33.037,0.052
15:50:33.037,0.049
15:50:33.053,0.049
15:50:33.100,0.048
15:50:33.117,0.043
15:50:33.117,0.04
15:50:33.117,0.036
15:50:33.117,0.03
15:50:33.132,0.019
15:50:33.148,0.019
15:50:33.148,0.002
15:50:33.163,0.002
15:50:33.167,0.002
15:50:33.242,0.01
15:50:33.256,0.006
15:50:33.258,-0.012
15:50:33.258,-0.024
15:50:33.258,-0.027
15:50:33.274,-0.027
15:50:33.274,-0.025
15:50:33.289,-0.025
15:50:33.289,-0.023
15:50:33.305,-0.023
15:50:33.352,-0.021
15:50:33.352,-0.023
15:50:33.352,-0.024
15:50:33.368,-0.027
15:50:33.368,-0.028
15:50:33.384,-0.028
15:50:33.384,-0.022
15:50:33.399,-0.022
15:50:33.399,-0.019
15:50:33.415,-0.019
15:50:33.478,-0.016
15:50:33.478,-0.014
15:50:33.478,-0.016
15:50:33.478,-0.014
15:50:33.493,-0.014
15:50:33.493,-0.016
15:50:33.509,-0.016
15:50:33.511,-0.018
15:50:33.525,-0.018
15:50:33.525,-0.021
15:50:33.572,-0.024
15:50:33.587,-0.032
15:50:33.587,-0.037
15:50:33.587,-0.03
15:50:33.603,-0.03
15:50:33.603,-0.023
15:50:33.619,-0.023
15:50:33.619,-0.028
15:50:33.636,-0.028
15:50:33.639,-0.038
15:50:33.698,-0.046
15:50:33.698,-0.041
15:50:33.698,-0.041
15:50:33.698,-0.035
15:50:33.729,-0.035
15:50:33.731,-0.035
15:50:33.745,-0.035
15:50:33.745,-0.031
15:50:33.761,-0.031
15:50:33.761,-0.026
15:50:33.809,-0.025
15:50:33.809,-0.02
15:50:33.809,-0.017
15:50:33.824,-0.017
15:50:33.824,-0.014
15:50:33.840,-0.014
15:50:33.840,-0.011
15:50:33.856,-0.011
15:50:33.856,-0.006
15:50:33.871,-0.006
15:50:33.918,-0.009
15:50:33.918,-0.004
