Time (s),Current (nA)
17:33:20.541,0.0048
17:33:20.746,0.018
17:33:20.785,-0.0021
17:33:20.841,0.0091
17:33:20.888,-0.0056
17:33:20.920,0.0178
17:33:20.970,0.0039
17:33:21.015,0.0128
17:33:21.070,0.0054
17:33:21.118,0.008
17:33:21.158,-0.0058
17:33:21.205,0.0115
17:33:21.254,0.0117
17:33:21.300,0.0046
17:33:21.351,0.0002
17:33:21.395,0.0134
17:33:21.443,0.0013
17:33:21.490,0.0078
17:33:21.538,0.0154
17:33:21.585,0.0199
17:33:21.619,0.0063
17:33:21.669,0.0052
17:33:21.723,0.0044
17:33:21.776,0.0173
17:33:21.831,0.0002
17:33:21.873,0.0174
17:33:21.919,0.0182
17:33:21.970,0.0044
17:33:22.020,-0.0031
17:33:22.061,0.0041
17:33:22.110,0.0139
17:33:22.151,0.0135
17:33:22.187,0.0194
17:33:22.237,-0.0059
17:33:22.286,0.0141
17:33:22.330,0.008
17:33:22.362,0.0089
17:33:22.420,0.0017
17:33:22.456,0.0157
17:33:22.487,-0.0131
17:33:22.534,0.0133
17:33:22.582,0.0129
17:33:22.634,0.0029
17:33:22.662,-0.006
17:33:22.720,0.0078
17:33:22.757,0.0099
17:33:22.808,0.0052
17:33:22.866,0.0198
17:33:22.901,0.0092
17:33:22.950,0.0132
17:33:22.995,0.0049
17:33:23.027,-0.0151
17:33:23.087,-0.0019
17:33:23.123,0.0116
17:33:23.185,-0.0069
17:33:23.218,0.0134
17:33:23.265,0.0126
17:33:23.312,0.0091
17:33:23.369,0.0155
17:33:23.407,0.0149
17:33:23.458,0.0117
17:33:23.503,0.0136
17:33:23.535,0.012
17:33:23.584,0.0048
17:33:23.629,0.0125
17:33:23.661,0.0096
17:33:23.709,0.0049
17:33:23.758,0.0007
17:33:23.805,0.0152
17:33:23.868,0.018
17:33:23.899,0.0094
17:33:23.931,-0.0104
17:33:23.986,0.0132
17:33:24.042,0.0068
17:33:24.086,-0.0006
17:33:24.125,-0.0005
17:33:24.169,0.0125
17:33:24.218,0.0012
17:33:24.280,0.0078
17:33:24.334,0.0075
17:33:24.392,0.0011
17:33:24.437,0.0052
17:33:24.485,0.0112
17:33:24.537,0.0202
17:33:24.580,0.0207
17:33:24.627,0.0142
17:33:24.675,0.0032
17:33:24.712,0.0252
17:33:24.738,0.0055
17:33:24.785,0.008
17:33:24.838,-0.0001
17:33:24.880,0.015
17:33:24.916,0.0097
17:33:24.968,0.0047
17:33:25.007,0.0147
17:33:25.059,0.0024
17:33:25.102,0.003
17:33:25.149,0.0188
17:33:25.184,0.0231
17:33:25.245,0.0102
17:33:25.300,0.0104
17:33:25.359,0.0208
17:33:25.404,0.0134
