Time (s),Current (nA)
17:05:56.521,0.0294
17:05:56.527,0.0271
17:05:56.537,-0.0018
17:05:56.537,0.0013
17:05:56.548,0.02
17:05:56.550,-0.0075
17:05:56.550,0.006
17:05:56.554,0.0124
17:05:56.563,0.0125
17:05:56.571,0.0159
17:05:56.577,0.0052
17:05:56.581,-0.0135
17:05:56.581,0.0336
17:05:56.586,0.0011
17:05:56.589,-0.0092
17:05:56.591,0.0286
17:05:56.591,-0.0163
17:05:56.595,0.016
17:05:56.598,-0.0104
17:05:56.598,0.0164
17:05:56.602,0.0209
17:05:56.605,0.0212
17:05:56.611,-0.016
17:05:56.611,0.0058
17:05:56.627,0.0073
17:05:56.628,0.0535
17:05:56.634,-0.0085
17:05:56.634,0.0482
17:05:56.639,0.0066
17:05:56.641,-0.0024
17:05:56.641,0.0245
17:05:56.645,-0.0142
17:05:56.647,0.0003
17:05:56.648,-0.0033
17:05:56.655,-0.0063
17:05:56.659,-0.0021
17:05:56.659,0.0368
17:05:56.674,0.0053
17:05:56.674,-0.0096
17:05:56.682,-0.0189
17:05:56.684,0.0033
17:05:56.684,0.044
17:05:56.688,0.0095
17:05:56.688,0.02
17:05:56.692,-0.0002
17:05:56.694,0.0149
17:05:56.696,0.0051
17:05:56.696,0.0202
17:05:56.708,0.0182
17:05:56.708,0.0148
17:05:56.719,0.0014
17:05:56.722,-0.0039
17:05:56.726,0.0047
17:05:56.731,-0.0104
17:05:56.733,-0.0191
17:05:56.735,0.0478
17:05:56.735,0.0178
17:05:56.739,0.0131
17:05:56.739,0.042
17:05:56.742,0.0192
17:05:56.744,0.0024
17:05:56.746,-0.0091
17:05:56.747,0.0189
17:05:56.749,0.0046
17:05:56.758,0.0308
17:05:56.763,-0.0206
17:05:56.769,0.0316
17:05:56.774,0.0198
17:05:56.779,0.0119
17:05:56.781,0.0064
17:05:56.784,0.0178
17:05:56.786,0.0164
17:05:56.787,-0.0126
17:05:56.787,0.0318
17:05:56.790,-0.0047
17:05:56.790,-0.0093
17:05:56.794,-0.0084
17:05:56.796,0.013
17:05:56.805,-0.0204
17:05:56.805,-0.0009
17:05:56.817,0.0224
17:05:56.824,0.0265
17:05:56.827,0.0198
17:05:56.830,-0.0025
17:05:56.830,0.0118
17:05:56.833,0.0031
17:05:56.835,0.0152
17:05:56.837,0.0249
17:05:56.839,0.0249
17:05:56.839,0.0015
17:05:56.851,-0.0097
17:05:56.851,0.0017
17:05:56.865,0.0526
17:05:56.870,-0.0065
17:05:56.873,0.0024
17:05:56.876,0.0196
17:05:56.878,0.0085
17:05:56.878,0.0122
17:05:56.882,0.0171
17:05:56.884,0.0197
17:05:56.886,0.0283
17:05:56.887,0.0106
17:05:56.888,-0.0037
17:05:56.890,0.0081
17:05:56.898,-0.002
17:05:56.905,-0.0284
17:05:56.913,0.0165
17:05:56.917,-0.0081
17:05:56.921,0.009
17:05:56.923,-0.0061
17:05:56.926,0.0028
17:05:56.928,0.0101
17:05:56.931,0.0261
17:05:56.931,-0.0047
17:05:56.934,0.0037
17:05:56.936,0.0181
17:05:56.936,-0.0097
17:05:56.940,0.0198
17:05:56.943,0.0111
17:05:56.948,0.0229
17:05:56.960,0.0403
17:05:56.965,-0.0156
17:05:56.970,0.0081
17:05:56.970,0.0011
17:05:56.976,-0.0046
17:05:56.977,0.0077
17:05:56.979,0.0083
17:05:56.979,0.0183
17:05:56.984,0.0161
17:05:56.986,-0.0182
